variables,units,values,description
rotorse.ccblade.alpha,deg,"[47.89700352 38.0768073  25.7028024  18.26937897 12.91908229 10.47138002
 10.87852929  9.06158564  7.98356859  6.76650209  5.67538258  4.83039396
  4.17173558  3.75260101  3.58676922  3.62967397  3.74435192  3.84046582
  3.91656209  4.01731206  4.24851996  4.57530361  5.12534348  5.84453191
  6.61829118  7.3383129   7.95371409  8.48951158  8.74456761  9.01175481]",Angles of attack along blade span
rotorse.ccblade.cl,,"[-1.81697364e-18  1.97552636e-02  4.76516959e-01  6.71326179e-01
  9.30787812e-01  9.88655088e-01  7.95477785e-01  1.10990192e+00
  1.14545356e+00  1.06551226e+00  9.97948412e-01  9.40160848e-01
  8.84493855e-01  8.43332551e-01  8.25381554e-01  8.29431859e-01
  8.41601060e-01  8.50275203e-01  8.62142391e-01  8.81887158e-01
  8.97144479e-01  9.29716158e-01  9.87084228e-01  1.06516403e+00
  1.15178982e+00  1.22275268e+00  1.30076476e+00  1.39661992e+00
  1.44106274e+00  1.54308170e+00]",Lift coefficients along blade span
rotorse.ccblade.cd,,"[0.5        0.49929428 0.38991146 0.2566447  0.12127188 0.0464896
 0.0325151  0.01855199 0.01461719 0.01273709 0.0127352  0.01214887
 0.01142697 0.01059745 0.01021537 0.01016973 0.01006976 0.00987151
 0.0095584  0.00922266 0.00932776 0.00941525 0.00948268 0.01001621
 0.01023612 0.01033569 0.01085316 0.0112599  0.01222039 0.01442478]",Drag coefficients along blade span
rotorse.ccblade.cl_n_opt,,"[-1.81697364e-18  1.97552636e-02  4.76516959e-01  6.71326179e-01
  9.30787812e-01  9.88655088e-01  7.95477785e-01  1.10990192e+00
  1.14545356e+00  1.06551226e+00  9.97948412e-01  9.40160848e-01
  8.84493855e-01  8.43332551e-01  8.31365220e-01  8.29431859e-01
  8.41601060e-01  8.50275203e-01  8.62142391e-01  8.81887158e-01
  8.97144479e-01  9.29716158e-01  9.87084228e-01  1.06516403e+00
  1.15178982e+00  1.22275268e+00  1.30076476e+00  1.39661992e+00
  1.47272379e+00  1.54308170e+00]",Lift coefficients along blade span
rotorse.ccblade.cd_n_opt,,"[0.5        0.49929428 0.38991146 0.2566447  0.12127188 0.0464896
 0.0325151  0.01855199 0.01461719 0.01273709 0.0127352  0.01214887
 0.01142697 0.01059745 0.01034273 0.01016973 0.01006976 0.00987151
 0.0095584  0.00922266 0.00932776 0.00941525 0.00948268 0.01001621
 0.01023612 0.01033569 0.01085316 0.0112599  0.01290451 0.01442478]",Drag coefficients along blade span
rotorse.ccblade.Px_b,N/m,"[  96.94419666  125.09708464  268.26994044  454.10256819  810.18258737
 1152.91639007 1223.63781377 2185.67511228 2816.79344642 3203.10035546
 3603.77419459 3976.03735837 4315.78532911 4592.64515094 5138.92321077
 5335.16961572 5740.1165905  6090.19627728 6412.23032814 6731.70090169
 6946.77336781 7215.882221   7583.27827873 7976.56220463 8245.47233034
 8148.486234   7792.07424074 7155.23362935 6566.56902172 4154.47960748]",Distributed loads in blade-aligned x-direction
rotorse.ccblade.Py_b,N/m,"[  39.36700572   75.06067594  -17.10706274 -104.84388658 -286.11278543
 -409.83753377 -387.42089677 -570.07652763 -616.48958248 -627.80819832
 -632.58503467 -637.31630228 -641.24141745 -644.52107414 -651.32797809
 -654.12031694 -660.1851741  -665.00229571 -670.00155246 -675.64743986
 -674.13132989 -675.12855612 -680.60060486 -683.31870792 -682.29701805
 -663.82832766 -624.01612267 -560.44059955 -502.30087429 -275.74648526]",Distributed loads in blade-aligned y-direction
rotorse.ccblade.Pz_b,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Distributed loads in blade-aligned z-direction
rotorse.ccblade.Px_af,N/m,"[  77.63104166   94.4417609   261.28960656  465.5494612   855.26873146
 1212.33378754 1269.28088677 2236.24016457 2860.39842674 3245.67567493
 3645.25853886 4016.53541643 4355.34013973 4631.15512702 5173.50265597
 5368.10604945 5769.72456043 6116.9895886  6436.56874116 6753.48676125
 6965.22708014 7229.78543316 7589.50060271 7971.47560498 8226.66778958
 8117.05485741 7750.57790157 7106.8192878  6517.45537596 4118.14250701]",Distributed loads in airfoil x-direction
rotorse.ccblade.Py_af,N/m,"[   70.15240392   111.19415208    63.15975018    21.56576378
   -82.29063049  -165.61942573  -190.55309245  -318.42247117
  -364.01313901  -345.80982372  -315.34498019  -287.20792619
  -261.16245839  -245.35502228  -260.05801262  -274.49163799
  -308.32034219  -339.34808383  -369.0294051   -403.37706725
  -444.66278873  -504.93305014  -607.29501688  -740.30111448
  -880.50000065  -975.66202963 -1017.03455507 -1002.28816547
  -945.99699134  -613.7093979 ]",Distributed loads in airfoil y-direction
rotorse.ccblade.Pz_af,N/m,"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0.]",Distributed loads in airfoil z-direction
rotorse.ccblade.LiftF,N/m,"[-2.13162821e-14  5.76775652e+00  2.08043935e+02  4.35322037e+02
  8.52017239e+02  1.22224375e+03  1.28243388e+03  2.25848131e+03
  2.88323273e+03  3.26381262e+03  3.65857520e+03  4.02645477e+03
  4.36279918e+03  4.63728381e+03  5.17963805e+03  5.37471538e+03
  5.77754310e+03  6.12598241e+03  6.44674269e+03  6.76515270e+03
  6.97902916e+03  7.24702481e+03  7.61340772e+03  8.00542330e+03
  8.27332684e+03  8.17518934e+03  7.81674890e+03  7.17691535e+03
  6.58551563e+03  4.16343874e+03]",Distributed lift force
rotorse.ccblade.DragF,N/m,"[104.63239654 145.77420431 170.23258702 166.42147548 111.0088998
  57.47365247  52.41939368  37.75047166  36.79307233  39.01547494
  46.68846603  52.03031345  56.36396607  58.27285403  64.10598819
  65.89979583  69.12830013  71.12130735  71.47377606  70.74907152
  72.56213569  73.39071367  73.14016846  75.27857572  73.52622425
  69.1033056   65.22044428  57.8620915   55.84597298  38.91997573]",Distributed drag force
rotorse.ccblade.L_n_opt,N/m,"[-2.13162821e-14  5.76775652e+00  2.08043935e+02  4.35322037e+02
  8.52017239e+02  1.22224375e+03  1.28243388e+03  2.25848131e+03
  2.88323273e+03  3.26381262e+03  3.65857520e+03  4.02645477e+03
  4.36279918e+03  4.63728381e+03  4.99885330e+03  5.37471538e+03
  5.77754310e+03  6.12598241e+03  6.44674269e+03  6.76515270e+03
  6.97902916e+03  7.24702481e+03  7.61340772e+03  8.00542330e+03
  8.27332684e+03  8.17518934e+03  7.81674890e+03  7.17691535e+03
  5.83383660e+03  4.16343874e+03]",Distributed lift force
rotorse.ccblade.D_n_opt,N/m,"[104.63239654 145.77420431 170.23258702 166.42147548 111.0088998
  57.47365247  52.41939368  37.75047166  36.79307233  39.01547494
  46.68846603  52.03031345  56.36396607  58.27285403  62.16161014
  65.89979583  69.12830013  71.12130735  71.47377606  70.74907152
  72.56213569  73.39071367  73.14016846  75.27857572  73.52622425
  69.1033056   65.22044428  57.8620915   50.59307728  38.91997573]",Distributed drag force
rotorse.wt_class.V_mean,m/s,[7.5],
rotorse.wt_class.V_extreme1,m/s,[30.],
rotorse.wt_class.V_extreme50,m/s,[52.5],
rotorse.re.precomp.z,m,"[  3.           6.44228387   9.88456774  13.32685161  16.76913548
  20.21141935  23.65370322  27.09598709  30.53827096  33.98055483
  37.4228387   40.86512257  44.30740645  47.74969032  52.91311612
  54.63425806  58.07654193  61.5188258   64.96110967  68.40339354
  71.84567741  75.28796128  78.73024515  82.17252902  85.61481289
  89.05709676  92.49938063  95.9416645   97.83492063 102.82623224]",locations of properties along beam
rotorse.re.Tw_iner,m,"[30.55250184 42.90723035 17.8268419  20.00845369 18.18534986 15.41260271
 12.1355827   9.07943399  7.33847337  7.23825417  7.24796626  7.21930544
  7.16106879  6.99058306  6.144749    5.81652773  5.1008489   4.51016557
  3.99426011  3.48226652  3.83492262  2.16326579  1.11604251 -0.16420369
 -1.42031046 -2.45873493 -3.2903616  -3.94760168 -4.24401546 -4.58284898]",Orientation of the section principal inertia axes with respect the blade reference plane
rotorse.re.x_tc,m,"[-0.01845476 -0.02338109  0.07151775  0.27813585  0.26257744  0.25515536
  0.21788194  0.19849651  0.16772048  0.1613758   0.15216433  0.14375115
  0.13750522  0.12827093  0.10937748  0.12918931  0.11029218  0.09594288
  0.08557472  0.07688505  0.06134199  0.05886219  0.04707546  0.036141
  0.02527524  0.01885485  0.01534559  0.01247637  0.01293944  0.00757616]",X-coordinate of the tension-center offset with respect to the XR-YR axes
rotorse.re.y_tc,m,"[-1.51443081e-04 -4.60784780e-03  1.33301594e-01 -5.76470929e-02
 -1.36723163e-01 -1.70721946e-01 -1.98494823e-01 -2.14437261e-01
 -2.06081549e-01 -1.81406537e-01 -1.49065741e-01 -1.09727933e-01
 -7.18692204e-02 -3.02914460e-02 -1.52932958e-02 -2.18603742e-02
 -2.18328181e-02 -4.13413271e-02 -6.00864521e-02 -7.39301787e-02
 -4.98621748e-02 -8.82249840e-02 -8.89022771e-02 -8.42710996e-02
 -7.68038684e-02 -6.24084253e-02 -4.34850150e-02 -2.24235233e-02
  1.64798643e-03 -9.26705733e-03]",Chordwise offset of the section tension-center with respect to the XR-YR axes
rotorse.re.x_sc,m,"[-0.01845476 -0.02338109  0.07151775  0.2807399   0.26493996  0.2570318
  0.21930867  0.19946673  0.16839753  0.16190173  0.15258358  0.14411041
  0.13782775  0.12861346  0.10970005  0.12948979  0.1105729   0.09619818
  0.08581155  0.07710546  0.06143552  0.05905023  0.04724642  0.03630294
  0.02542129  0.01898636  0.0154629   0.01257709  0.01306831  0.00757616]",X-coordinate of the shear-center offset with respect to the XR-YR axes
rotorse.re.y_sc,m,"[-1.51443081e-04 -4.60784780e-03  1.33301594e-01 -6.11541697e-02
 -1.37525020e-01 -1.69320205e-01 -1.95964465e-01 -2.11360538e-01
 -2.02883465e-01 -1.78352334e-01 -1.46077258e-01 -1.06726626e-01
 -6.88553466e-02 -2.72331675e-02 -1.24220341e-02 -1.92998121e-02
 -1.95452661e-02 -3.94491157e-02 -5.85552175e-02 -7.26961606e-02
 -4.91668872e-02 -8.74244602e-02 -8.82527880e-02 -8.37446835e-02
 -7.63832913e-02 -6.20702364e-02 -4.31981612e-02 -2.21482227e-02
  2.05754848e-03 -9.26705733e-03]","Chordwise offset of the section shear-center with respect to the reference frame, XR-YR"
rotorse.re.x_cg,m,"[-1.84547635e-02 -9.05823651e-03  7.47059921e-02  2.04901200e-01
  2.26522642e-01  2.45511702e-01  2.23022180e-01  2.15967412e-01
  1.92702687e-01  1.95881619e-01  1.93901959e-01  1.89914014e-01
  1.86051903e-01  1.75642769e-01  1.48859108e-01  1.62683096e-01
  1.36240971e-01  1.15068100e-01  9.85734018e-02  8.41933411e-02
  5.73083432e-02  5.66929793e-02  4.05141420e-02  2.48132493e-02
  1.15563324e-02  4.26928054e-03  1.10770198e-03 -5.32622354e-05
  3.04315849e-05  7.04237371e-04]",X-coordinate of the center-of-mass offset with respect to the XR-YR axes
rotorse.re.y_cg,m,"[-1.51443081e-04  6.07958639e-03  1.04102450e-01  6.58025512e-02
  4.39379331e-02  6.07291242e-02  8.03527169e-02  1.01526219e-01
  1.37913253e-01  1.81198666e-01  2.20442055e-01  2.64583427e-01
  2.99471793e-01  3.51991733e-01  3.65189683e-01  3.26442096e-01
  3.14436596e-01  2.77104513e-01  2.37368722e-01  1.97214336e-01
  4.89825416e-02  1.21904190e-01  8.86718092e-02  6.00671897e-02
  3.40111161e-02  1.75857352e-02  9.58924420e-03  4.54314277e-03
  7.35739974e-03 -2.26032879e-02]",Chordwise offset of the section center of mass with respect to the XR-YR axes
rotorse.re.precomp.flap_iner,kg/m,"[5.52430606e+03 4.48331861e+03 3.19474692e+03 1.91350222e+03
 9.76957632e+02 5.48375204e+02 3.67432907e+02 2.51653563e+02
 1.84529266e+02 1.49404590e+02 1.27579738e+02 1.09942119e+02
 9.62656596e+01 8.07012562e+01 6.00988331e+01 5.18793828e+01
 3.98601889e+01 3.01395584e+01 2.22784779e+01 1.61764904e+01
 3.50250333e+01 7.62721287e+00 4.87205203e+00 2.95955387e+00
 1.63398850e+00 8.46836731e-01 4.04982642e-01 1.64103096e-01
 8.12389929e-02 8.93733932e-03]",Section flap inertia about the Y_G axis per unit length.
rotorse.re.precomp.edge_iner,kg/m,"[5.52456218e+03 4.65347533e+03 3.98797398e+03 3.07756208e+03
 2.29982407e+03 1.80800591e+03 1.49366897e+03 1.27660384e+03
 1.13075977e+03 1.03869949e+03 9.81946033e+02 9.26232742e+02
 8.75242799e+02 7.86343911e+02 6.40203987e+02 5.42366443e+02
 4.31532667e+02 3.29290969e+02 2.44262529e+02 1.76804712e+02
 1.97377272e+02 8.51578018e+01 5.64699695e+01 3.59943917e+01
 2.11639936e+01 1.19671523e+01 6.28974092e+00 2.84257986e+00
 1.47005747e+00 1.78002559e-01]",Section lag inertia about the X_G axis per unit length
rotorse.re.precomp.blade_mass,kg,[50569.14796865],mass of one blade
rotorse.re.precomp.blade_moment_of_inertia,kg*m**2,[68916559.22490454],mass moment of inertia of blade about hub
rotorse.re.precomp.mass_all_blades,kg,[151707.44390594],mass of all blades
rotorse.re.precomp.I_all_blades,kg*m**2,"[2.06749678e+08 1.03374839e+08 1.03374839e+08 0.00000000e+00
 0.00000000e+00 0.00000000e+00]","mass moments of inertia of all blades in hub c.s. order:Ixx, Iyy, Izz, Ixy, Ixz, Iyz"
rotorse.re.sc_ss_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]]","spar cap, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.sc_ps_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]
 [1. 0. 0. 1. 0. 1. 0. 0. 0. 0.]]","spar cap, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ss_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, suction side,  boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
rotorse.re.te_ps_mats,,"[[0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [1. 0. 1. 0. 0. 1. 0. 0. 0. 0.]
 [0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]]","trailing edge reinforcement, pressure side, boolean of materials in each composite layer spanwise, passed as floats for differentiablity, used for Fatigue Analysis"
